Cards,Count,% Frequency
A♥,18,1.8
8♠,18,1.8
K♦,16,1.6
10♥,19,1.9
9♠,22,2.2
9♥,26,2.6
J♥,17,1.7
4♠,21,2.1
7♣,21,2.1
2♦,15,1.5
2♣,22,2.2
Q♠,19,1.9
5♥,25,2.5
9♣,25,2.5
Q♥,25,2.5
8♥,14,1.4
K♣,15,1.5
A♦,24,2.4
2♠,13,1.3
J♦,18,1.8
3♦,15,1.5
7♥,14,1.4
J♠,26,2.6
K♠,28,2.8
3♠,32,3.2
7♠,23,2.3
7♦,26,2.6
8♣,22,2.2
A♣,22,2.2
4♥,17,1.7
10♠,17,1.7
6♥,16,1.6
10♦,14,1.4
3♣,23,2.3
4♣,24,2.4
4♦,21,2.1
Q♣,17,1.7
6♦,30,3.0
2♥,17,1.7
5♦,24,2.4
J♣,18,1.8
8♦,13,1.3
K♥,17,1.7
A♠,18,1.8
6♣,18,1.8
5♠,11,1.1
3♥,14,1.4
5♣,18,1.8
9♦,5,0.5
6♠,16,1.6
Q♦,16,1.6
10♣,15,1.5
